Model 1,,Model 2,,Model 3,
X,Y,X,Y,X,Y
0.013860342555992444,0.5663396936588426,0.02567959263611197,0.2802300172512941,0.0020410924758726967,0.11760635684039966
0.02042659260050339,0.5575674630142716,0.03093259267172077,0.2761812954153382,0.007294092511481498,0.11895593078571831
0.02567959263611197,0.5487952323697005,0.03487234269842743,0.27483172147001955,0.011233842538187933,0.11828114381305899
0.03093259267172077,0.5379986408071515,0.04406509276074266,0.26538470385278917,0.01780009258269888,0.11490720894976247
0.03618559270732957,0.5245029013539653,0.049318092796351465,0.2599864080715147,0.04275184275184052,0.09803753463327969
0.04012534273403623,0.5137063097914163,0.05325784282305812,0.2559376862355588,0.049318092796351465,0.09128966490668655
0.04275184275184052,0.5069584400648232,0.0585108428586667,0.24784024256364706,0.05588434284086241,0.08454179518009342
0.04537834276964481,0.49886099639291137,0.06113734287647121,0.24379152072769117,0.06245059288537336,0.07779392545350028
0.04800484278744932,0.49076355272099964,0.06507709290317765,0.23839322494641668,0.06770359292098216,0.06969648178158849
0.05063134280525361,0.4826661090490879,0.07164334294768859,0.22624705943854906,0.09396859309902594,0.029209263422029785
0.05325784282305812,0.4745686653771761,0.0742698429654931,0.22219833760259317,0.09790834312573238,0.01976224580479935
0.05588434284086241,0.46512164775994574,0.07820959299219954,0.21680004182131868,0.10710109318804784,0.0022177845156572396
0.0585108428586667,0.45567463014271536,0.08477584303671049,0.2033043023681324,0.11104084321475427,-0.007229233101573196
0.06113734287647121,0.44757718647080363,0.087402343054515,0.19790600658685792,0.11498059324146093,-0.01667625071880352
0.0637638428942755,0.4367805949082546,0.09002884307231929,0.19385728475090203,0.12154684328597187,-0.024773694390715306
0.06639034291207979,0.4286831512363429,0.09528184310792809,0.18306069318835305,0.12417334330377616,-0.03422071200794563
0.0690168429298843,0.41788655967379384,0.09790834312573238,0.17901197135239716,0.12942634333938496,-0.04231815567985742
0.07164334294768859,0.40708996811124487,0.10053484314353689,0.17361367557112267,0.1333660933660914,-0.05176517329708774
0.0742698429654931,0.3962933765486959,0.10578784317914547,0.16146751006325505,0.1386190934017002,-0.0591878299963402
0.0768963429832974,0.3881959328767841,0.10841434319694998,0.15741878822729916,0.1543780935085266,-0.06796006064091131
0.07952284300110168,0.37739934131423514,0.11104084321475427,0.15202049244602467,0.16357084357084184,-0.06391133880495536
0.0821493430189062,0.3666027497516861,0.11629384325036307,0.13987432693815705,0.17013709361535279,-0.05716346907836234
0.08477584303671049,0.3558061581891371,0.11892034326816736,0.13582560510220115,0.17670334365986373,-0.0504155993517692
0.087402343054515,0.3450095666265881,0.12154684328597187,0.13042730932092667,0.18326959370437468,-0.04164336870719809
0.09002884307231929,0.3342129750640391,0.12679984332158045,0.11828114381305899,0.18983584374888562,-0.03557028595326428
0.09265534309012358,0.3234163835014901,0.12942634333938496,0.11423242197710315,0.20296834383790752,-0.01937539860944082
0.09528184310792809,0.31261979193894107,0.13205284335718925,0.10883412619582866,0.20953459388241846,-0.013302315855507008
0.09790834312573238,0.30452234826702934,0.1386190934017002,0.09533838674264239,0.21478759391802726,-0.008578807046891734
0.10053484314353689,0.2937257567044803,0.14255884342840686,0.0899400909613679,0.22093352297424862,-0.005933739210441491
0.10316134316134118,0.28292916514193134,0.14518534344621115,0.08589136912541206,0.2266068439981468,-0.004530085210935897
0.10578784317914547,0.2721325735793823,0.15043834348181995,0.07374520361754433,0.23579959406046225,-0.0031805112656172474
0.10841434319694998,0.26133598201683333,0.15306484349962424,0.06969648178158849,0.24299632558740725,-0.0019118840151965966
0.11104084321475427,0.2505393904542843,0.15569134351742875,0.06564775994563266,0.25155859416728843,-0.001830937320298598
0.11366734323255878,0.24244194678237257,0.16094434355303755,0.05620074232840222,0.25770452322351,-0.0025866709878559213
0.11629384325036307,0.23164535521982355,0.16357084357084184,0.05215202049244638,0.2655840232769231,-0.0033964847096000783
0.11892034326816736,0.22084876365727457,0.1675105935975485,0.045404150765853246,0.27388384431862556,-0.005879659156254546
0.12154684328597187,0.21275131998536279,0.17407684364205944,0.03460755920330427,0.283076594380941,-0.009253594019551059
0.12417334330377616,0.2019547284228138,0.17801659366876588,0.029209263422029785,0.28717388041842207,-0.011116061547733147
0.12679984332158045,0.19385728475090203,0.18195634369547253,0.023810967640755187,0.2909560944343541,-0.013977102828166221
0.12942634333938496,0.18306069318835305,0.19158684376075508,0.012564518096433441,0.29752234447886505,-0.020724972554759358
0.13205284335718925,0.17496324951644127,0.19640209379339657,0.006941293324272402,0.304088594523376,-0.027472842281352494
0.13467934337499377,0.16551623189921089,0.20165509382900537,0.0022177845156572396,0.3172210946123979,-0.043667729625176066
0.13730584339279805,0.15741878822729916,0.20690809386461395,-0.004530085210935897,0.3224740946480067,-0.051090386324428416
0.13993234341060234,0.14797177061006878,0.21216109390022275,-0.009253594019551059,0.32904034469251764,-0.05851304302368088
0.14255884342840686,0.13987432693815705,0.21741409393583155,-0.013302315855507008,0.33691984474593073,-0.06391133880495536
0.14518534344621115,0.13042730932092667,0.22266709397144036,-0.01667625071880352,0.35399209486165906,-0.06526091275027401
0.14781184346401566,0.12232986564901493,0.22792009400704916,-0.017351037691462845,0.36055834490617,-0.05851304302368088
0.15043834348181995,0.1155819959224218,0.23317309404265774,-0.01802582466412217,0.3658113449417788,-0.0504155993517692
0.15306484349962424,0.10748455225051001,0.23842609407826654,-0.01667625071880352,0.37500409500409426,-0.03287113806262698
0.15569134351742875,0.10073668252391688,0.2423658441049732,-0.013977102828166221,0.38025709503970284,-0.024773694390715306
0.15831784353523304,0.09263923885200509,0.24630559413167963,-0.009253594019551059,0.3841968450664095,-0.01532667677348487
0.1622575935619397,0.08184264728945612,0.25155859416728843,-0.007229233101573196,0.38813659509311615,-0.005879659156254546
0.1675105935975485,0.06834690783626984,0.25681159420289723,-0.013977102828166221,0.3920763451198226,0.003567358460975889
0.17276359363315708,0.05485116838308357,0.26206459423850603,-0.017351037691462845,0.3973293451554314,0.011664802132887564
0.17801659366876588,0.0440545768205346,0.26731759427411483,-0.01802582466412217,0.40126909518213805,0.021111819750118
0.18195634369547253,0.03595713314862292,0.2751970943275279,-0.01667625071880352,0.4104618452444533,0.03730670709394146
0.18852259373998348,0.02246139369543665,0.2804500943631365,-0.014651889800825546,0.4157148452800621,0.046753724711171896
0.19246234376668991,0.012339589105546889,0.283076594380941,-0.010603167964869709,0.4196545953067685,0.05417638141042436
